iter	Passed	Remaining
0	146	146338
1	147	73655
2	148	49306
3	149	37139
4	150	29868
5	150	24992
6	151	21558
7	152	18945
8	153	16902
9	154	15305
10	155	13965
11	156	12850
12	156	11903
13	157	11105
14	158	10402
15	159	9785
16	159	9241
17	160	8762
18	161	8328
19	161	7936
20	162	7588
21	163	7274
22	164	6980
23	165	6710
24	165	6463
25	166	6234
26	167	6024
27	167	5827
28	168	5643
29	169	5471
30	169	5308
31	170	5158
32	171	5018
33	171	4885
34	172	4758
35	173	4639
36	173	4525
37	174	4419
38	175	4319
39	175	4223
40	176	4131
41	177	4043
42	178	3961
43	178	3882
44	179	3807
45	180	3734
46	180	3665
47	181	3599
48	182	3534
49	182	3473
50	183	3413
51	184	3355
52	184	3299
53	185	3246
54	185	3194
55	186	3145
56	187	3097
57	187	3050
58	188	3005
59	189	2962
60	189	2920
61	190	2879
62	191	2840
63	191	2803
64	192	2766
65	192	2730
66	193	2695
67	194	2661
68	194	2628
69	195	2596
70	196	2564
71	196	2534
72	197	2504
73	197	2475
74	198	2447
75	199	2420
76	199	2393
77	200	2367
78	200	2342
79	201	2316
80	202	2292
81	202	2268
82	202	2242
83	203	2219
84	204	2197
85	204	2176
86	205	2155
87	206	2135
88	206	2115
89	207	2095
90	207	2076
91	208	2056
92	209	2038
93	209	2020
94	210	2002
95	210	1985
96	211	1968
97	212	1952
98	212	1935
99	213	1920
100	214	1905
101	214	1889
102	215	1874
103	215	1859
104	216	1845
105	217	1830
106	217	1816
107	218	1802
108	218	1789
109	219	1775
110	219	1761
111	220	1748
112	221	1736
113	221	1723
114	222	1711
115	222	1698
116	223	1686
117	224	1674
118	224	1662
119	225	1651
120	225	1640
121	226	1628
122	226	1617
123	227	1606
124	228	1596
125	228	1586
126	229	1575
127	229	1565
128	230	1555
129	230	1545
130	231	1536
131	232	1526
132	232	1517
133	233	1507
134	233	1498
135	234	1489
136	235	1480
137	235	1472
138	236	1463
139	236	1455
140	237	1446
141	237	1437
142	238	1429
143	239	1420
144	239	1412
145	240	1404
146	240	1396
147	241	1388
148	241	1381
149	242	1374
150	243	1366
151	243	1359
152	244	1352
153	244	1344
154	245	1337
155	245	1330
156	246	1323
157	247	1317
158	247	1310
159	248	1303
160	248	1295
161	249	1289
162	249	1283
163	250	1276
164	251	1270
165	251	1264
166	252	1257
167	252	1251
168	253	1245
169	253	1239
170	254	1234
171	255	1228
172	255	1222
173	256	1217
174	257	1212
175	257	1207
176	258	1201
177	259	1196
178	259	1191
179	260	1185
180	260	1180
181	261	1175
182	262	1170
183	262	1164
184	263	1159
185	263	1154
186	264	1149
187	264	1144
188	265	1139
189	266	1134
190	266	1129
191	267	1124
192	267	1119
193	268	1115
194	268	1110
195	269	1106
196	270	1101
197	270	1097
198	271	1092
199	271	1087
200	272	1083
201	273	1079
202	273	1074
203	274	1070
204	274	1066
205	275	1061
206	276	1057
207	276	1053
208	277	1049
209	277	1044
210	278	1041
211	278	1036
212	279	1033
213	280	1029
214	280	1025
215	281	1021
216	281	1017
217	282	1013
218	283	1009
219	283	1005
220	284	1002
221	284	998
222	285	994
223	286	990
224	286	987
225	287	983
226	287	979
227	288	975
228	288	972
229	289	968
230	289	965
231	290	961
232	291	958
233	291	954
234	292	951
235	292	948
236	293	944
237	294	941
238	294	938
239	295	934
240	295	931
241	296	928
242	296	925
243	297	922
244	298	918
245	298	915
246	299	912
247	299	909
248	300	906
249	301	903
250	301	900
251	302	897
252	302	893
253	303	891
254	303	887
255	304	885
256	305	882
257	305	879
258	306	876
259	306	873
260	307	870
261	308	867
262	308	864
263	309	862
264	309	859
265	310	856
266	311	853
267	311	850
268	312	848
269	312	845
270	313	842
271	313	840
272	314	837
273	315	834
274	315	832
275	316	829
276	316	827
277	317	824
278	318	822
279	318	819
280	319	816
281	319	814
282	320	811
283	321	809
284	321	806
285	322	804
286	322	801
287	323	799
288	323	796
289	324	794
290	325	792
291	325	789
292	326	787
293	326	784
294	327	782
295	328	780
296	328	778
297	329	775
298	329	773
299	330	771
300	331	768
301	331	766
302	332	764
303	332	762
304	333	759
305	334	757
306	334	755
307	335	753
308	335	750
309	336	748
310	336	746
311	337	743
312	337	741
313	338	739
314	339	737
315	339	735
316	340	733
317	341	731
318	341	729
319	342	727
320	342	725
321	343	723
322	344	721
323	344	719
324	345	716
325	345	714
326	346	712
327	347	710
328	347	708
329	348	706
330	348	704
331	349	702
332	349	700
333	350	698
334	351	696
335	351	694
336	352	692
337	352	690
338	353	688
339	353	686
340	354	684
341	355	683
342	355	681
343	356	679
344	357	677
345	357	676
346	358	674
